Country,1930Finish,1934Finish,1938Finish,1950Finish,1954Finish,1958Finish,1962Finish,1966Finish,1970Finish,1974Finish,1978Finish,1982Finish,1986Finish,1990Finish,1994Finish,1998Finish,2002Finish,2006Finish,2010Finish,2014Finish,GoalsScored,AllTimeRecord,HighestEverFinish,WorldCupWins,GoalsPerGame,GoalsConceded,GoalsConcededPerGame
France,Group Stage,Round of 16,Quarterfinalists,Did Not Qualify,Group Stage,Third Place,Did Not Qualify,Group Stage,Did Not Qualify,Did Not Qualify,Group Stage,Semifinalists,Third Place,Did Not Qualify,Did Not Qualify,Winners,Group Stage,Winners,Group Stage,Quarterfinalists,106,32-19-8,Winners-2006,2,1.7966101694915255,71,1.2033898305084745
Mexico,Group Stage,Did Not Qualify,Did Not Qualify,Group Stage,Group Stage,Group Stage,Group Stage,Group Stage,Quarterfinalists,Did Not Qualify,Group Stage,Did Not Qualify,Quarterfinalists,Did Not Qualify,Round of 16,Round of 16,Round of 16,Round of 16,Round of 16,Round of 16,57,15-26-12,Quarterfinalists-1986,0,1.0754716981132075,92,1.7358490566037736
Argentina,Runners-Up,Round of 16,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Group Stage,Quarterfinalists,Did Not Qualify,Group Stage,Winners,Group Stage,Winners,Runners-Up,Round of 16,Quarterfinalists,Group Stage,Quarterfinalists,Quarterfinalists,Runners-Up,131,46-22-9,Winners-1986,2,1.7012987012987013,84,1.0909090909090908
Chile,Group Stage,Did Not Qualify,Did Not Qualify,Group Stage,Did Not Qualify,Did Not Qualify,Third Place,Group Stage,Did Not Qualify,Group Stage,Did Not Qualify,Group Stage,Did Not Qualify,Did Not Qualify,Did Not Qualify,Round of 16,Did Not Qualify,Did Not Qualify,Round of 16,Round of 16,40,12-15-6,Third Place-1962,0,1.2121212121212122,49,1.4848484848484849
Yugoslavia,Semifinalists,Did Not Qualify,Did Not Qualify,Group Stage,Quarterfinalists,Quarterfinalists,Semifinalists,Did Not Qualify,Did Not Qualify,Group Stage,Did Not Qualify,Group Stage,Did Not Qualify,Quarterfinalists,Did Not Qualify,Round of 16,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,60,16-14-7,Semifinalists-1962,0,1.6216216216216217,46,1.2432432432432432
Brazil,Group Stage,Round of 16,Third Place,Final Group,Quarterfinalists,Winners,Winners,Group Stage,Winners,Group Stage,Third Place,Group Stage,Quarterfinalists,Round of 16,Runners-Up,Runners-Up,Winners,Quarterfinalists,Quarterfinalists,Semifinalists,220,70-20-13,Winners-2002,4,2.1359223300970873,101,0.9805825242718447
Bolivia,Group Stage,Did Not Qualify,Did Not Qualify,Group Stage,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,1,0-5-1,Group Stage-1994,0,0.16666666666666666,20,3.3333333333333335
Romania,Group Stage,Round of 16,Round of 16,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Round of 16,Quarterfinalists,Round of 16,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,27,8-9-3,Quarterfinalists-1994,0,1.35,29,1.45
Peru,Group Stage,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Quarterfinalists,Did Not Qualify,Group Stage,Group Stage,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,19,4-8-3,Quarterfinalists-1970,0,1.2666666666666666,31,2.066666666666667
Uruguay,Winners,Did Not Qualify,Did Not Qualify,Final Group,Semifinalists,Did Not Qualify,Group Stage,Quarterfinalists,Semifinalists,Group Stage,Did Not Qualify,Did Not Qualify,Round of 16,Round of 16,Did Not Qualify,Did Not Qualify,Group Stage,Did Not Qualify,Semifinalists,Round of 16,80,20-20-11,Winners-1930,1,1.5686274509803921,71,1.392156862745098
USA,Semifinalists,Round of 16,Did Not Qualify,Group Stage,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Round of 16,Group Stage,Quarterfinalists,Group Stage,Round of 16,Round of 16,37,8-19-6,Semifinalists-1930,0,1.121212121212121,62,1.878787878787879
Belgium,Group Stage,Round of 16,Round of 16,Did Not Qualify,Group Stage,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Did Not Qualify,Did Not Qualify,Group Stage,Semifinalists,Round of 16,Round of 16,Group Stage,Round of 16,Did Not Qualify,Did Not Qualify,Quarterfinalists,52,15-18-8,Semifinalists-1986,0,1.2682926829268293,66,1.6097560975609757
Paraguay,Group Stage,Did Not Qualify,Did Not Qualify,Group Stage,Did Not Qualify,Group Stage,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Round of 16,Did Not Qualify,Did Not Qualify,Round of 16,Round of 16,Group Stage,Quarterfinalists,Did Not Qualify,30,7-11-9,Quarterfinalists-2010,0,1.1111111111111112,38,1.4074074074074074
Italy,Did Not Qualify,Winners,Winners,Group Stage,Group Stage,Did Not Qualify,Group Stage,Group Stage,Runners-Up,Group Stage,Group Stage,Winners,Round of 16,Third Place,Winners,Quarterfinalists,Round of 16,Runners-Up,Group Stage,Group Stage,127,45-20-17,Winners-1994,4,1.548780487804878,76,0.926829268292683
Spain,Did Not Qualify,Quarterfinalists,Did Not Qualify,Final Group,Did Not Qualify,Did Not Qualify,Group Stage,Group Stage,Did Not Qualify,Did Not Qualify,Group Stage,Group Stage,Quarterfinalists,Round of 16,Quarterfinalists,Group Stage,Quarterfinalists,Round of 16,Winners,Group Stage,91,29-21-8,Winners-2010,1,1.5689655172413792,65,1.1206896551724137
Austria,Did Not Qualify,Semifinalists,Round of 16,Did Not Qualify,Third Place,Group Stage,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Group Stage,Did Not Qualify,Group Stage,Did Not Qualify,Group Stage,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,43,12-14-4,Third Place-1954,0,1.4333333333333333,50,1.6666666666666667
Hungary,Did Not Qualify,Quarterfinalists,Runners-Up,Did Not Qualify,Runners-Up,Group Stage,Quarterfinalists,Quarterfinalists,Did Not Qualify,Did Not Qualify,Group Stage,Group Stage,Group Stage,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,87,15-14-3,Runners-Up-1954,0,2.71875,57,1.78125
Egypt,Did Not Qualify,Round of 16,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,3,0-2-2,Round of 16-1934,0,0.75,6,1.5
Czechoslovakia,Did Not Qualify,Runners-Up,Quarterfinalists,Did Not Qualify,Group Stage,Group Stage,Runners-Up,Did Not Qualify,Group Stage,Did Not Qualify,Did Not Qualify,Group Stage,Did Not Qualify,Quarterfinalists,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,43,11-14-4,Runners-Up-1962,0,1.4827586206896552,44,1.5172413793103448
Switzerland,Did Not Qualify,Quarterfinalists,Quarterfinalists,Group Stage,Quarterfinalists,Did Not Qualify,Group Stage,Group Stage,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Round of 16,Did Not Qualify,Did Not Qualify,Round of 16,Group Stage,Round of 16,44,11-16-5,Quarterfinalists-1954,0,1.375,58,1.8125
Netherlands,Did Not Qualify,Round of 16,Round of 16,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Runners-Up,Runners-Up,Did Not Qualify,Did Not Qualify,Round of 16,Quarterfinalists,Semifinalists,Did Not Qualify,Round of 16,Runners-Up,Third Place,86,28-13-9,Runners-Up-2010,0,1.72,48,0.96
Germany,Did Not Qualify,Third Place,Round of 16,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Quarterfinalists,Quarterfinalists,Runners-Up,Third Place,Third Place,Winners,92,30-9-4,Winners-2014,1,2.13953488372093,43,1
Sweden,Did Not Qualify,Quarterfinalists,Semifinalists,Final Group,Did Not Qualify,Runners-Up,Did Not Qualify,Did Not Qualify,Group Stage,Group Stage,Group Stage,Did Not Qualify,Did Not Qualify,Group Stage,Third Place,Did Not Qualify,Round of 16,Round of 16,Did Not Qualify,Did Not Qualify,77,18-17-12,Runners-Up-1958,0,1.6382978723404256,69,1.4680851063829787
Norway,Did Not Qualify,Did Not Qualify,Round of 16,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Round of 16,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,7,2-3-3,Round of 16-1998,0,0.875,8,1
Poland,Did Not Qualify,Did Not Qualify,Round of 16,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Third Place,Group Stage,Third Place,Round of 16,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Group Stage,Did Not Qualify,Did Not Qualify,44,15-11-5,Third Place-1982,0,1.4193548387096775,40,1.2903225806451613
Dutch East Indies,Did Not Qualify,Did Not Qualify,Round of 16,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,0,0-1-0,Round of 16-1938,0,0,6,6
Cuba,Did Not Qualify,Did Not Qualify,Quarterfinalists,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,2,1-1-0,Quarterfinalists-1938,0,1,9,4.5
England,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Quarterfinalists,Group Stage,Quarterfinalists,Winners,Quarterfinalists,Did Not Qualify,Did Not Qualify,Group Stage,Quarterfinalists,Semifinalists,Did Not Qualify,Round of 16,Quarterfinalists,Quarterfinalists,Round of 16,Group Stage,79,28-17-17,Winners-1966,1,1.2741935483870968,56,0.9032258064516129
Germany FR,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Winners,Semifinalists,Quarterfinalists,Runners-Up,Third Place,Winners,Group Stage,Runners-Up,Runners-Up,Winners,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,131,36-15-11,Winners-1990,3,2.1129032258064515,77,1.2419354838709677
Turkey,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Third Place,Did Not Qualify,Did Not Qualify,Did Not Qualify,20,5-4-1,Third Place-2002,0,2,17,1.7
Korea Republic,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Group Stage,Group Stage,Group Stage,Semifinalists,Group Stage,Round of 16,Group Stage,31,6-17-8,Semifinalists-2002,0,1,67,2.161290322580645
Scotland,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Group Stage,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Group Stage,Group Stage,Group Stage,Group Stage,Did Not Qualify,Group Stage,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,25,4-12-7,Group Stage-1998,0,1.0869565217391304,41,1.7826086956521738
Northern Ireland,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Quarterfinalists,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Group Stage,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,13,3-5-5,Quarterfinalists-1958,0,1,23,1.7692307692307692
Wales,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Quarterfinalists,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,4,1-1-3,Quarterfinalists-1958,0,0.8,4,0.8
Soviet Union,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Quarterfinalists,Quarterfinalists,Semifinalists,Quarterfinalists,Did Not Qualify,Did Not Qualify,Group Stage,Round of 16,Group Stage,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,53,15-10-6,Semifinalists-1966,0,1.7096774193548387,34,1.096774193548387
Colombia,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Round of 16,Group Stage,Group Stage,Did Not Qualify,Did Not Qualify,Did Not Qualify,Quarterfinalists,26,7-9-2,Quarterfinalists-2014,0,1.4444444444444444,27,1.5
Bulgaria,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Group Stage,Group Stage,Group Stage,Did Not Qualify,Did Not Qualify,Round of 16,Did Not Qualify,Semifinalists,Group Stage,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,22,4-15-7,Semifinalists-1994,0,0.8461538461538461,53,2.0384615384615383
Portugal,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Third Place,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Semifinalists,Round of 16,Group Stage,43,14-9-3,Third Place-1966,0,1.6538461538461537,29,1.1153846153846154
Korea DPR,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Quarterfinalists,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Did Not Qualify,6,1-5-1,Quarterfinalists-1966,0,0.8571428571428571,21,3
El Salvador,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Did Not Qualify,Did Not Qualify,Group Stage,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,1,0-6-0,Group Stage-1982,0,0.16666666666666666,22,3.6666666666666665
Israel,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,1,0-1-2,Group Stage-1970,0,0.3333333333333333,3,1
Morocco,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Did Not Qualify,Did Not Qualify,Did Not Qualify,Round of 16,Did Not Qualify,Group Stage,Group Stage,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,12,2-7-4,Round of 16-1986,0,0.9230769230769231,18,1.3846153846153846
German DR,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,5,2-2-2,Group Stage-1974,0,0.8333333333333334,5,0.8333333333333334
Australia,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Round of 16,Group Stage,Group Stage,11,2-8-3,Round of 16-2006,0,0.8461538461538461,26,2
Zaire,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,0,0-3-0,Group Stage-1974,0,0,14,4.666666666666667
Haiti,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,2,0-3-0,Group Stage-1974,0,0.6666666666666666,14,4.666666666666667
Tunisia,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Group Stage,Group Stage,Did Not Qualify,Did Not Qualify,8,1-7-4,Group Stage-2006,0,0.6666666666666666,17,1.4166666666666667
IR Iran,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Did Not Qualify,Group Stage,2,0-4-2,Group Stage-2014,0,0.3333333333333333,10,1.6666666666666667
Iran,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Did Not Qualify,Group Stage,Did Not Qualify,Did Not Qualify,5,1-4-1,Group Stage-2006,0,0.8333333333333334,12,2
Cameroon,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Did Not Qualify,Quarterfinalists,Group Stage,Group Stage,Group Stage,Did Not Qualify,Group Stage,Group Stage,18,4-12-7,Quarterfinalists-1990,0,0.782608695652174,43,1.8695652173913044
Algeria,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Group Stage,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Round of 16,13,3-7-3,Round of 16-2014,0,1,19,1.4615384615384615
