Country,1930Finish,1934Finish,1938Finish,1950Finish,1954Finish,1958Finish,1962Finish,1966Finish,1970Finish,1974Finish,1978Finish,1982Finish,1986Finish,1990Finish,1994Finish,1998Finish,2002Finish,2006Finish,2010Finish,2014Finish,GoalsScored,AllTimeRecord,HighestEverFinish,WorldCupWins,GoalsPerGame,GoalsConceded,GoalsConcededPerGame
France,Group Stage,Round of 16,Quarterfinalists,Did Not Qualify,Group Stage,Third Place,Did Not Qualify,Group Stage,Did Not Qualify,Did Not Qualify,Group Stage,Semifinalists,Third Place,Did Not Qualify,Did Not Qualify,Winners,Group Stage,Winners,Group Stage,Quarterfinalists,106,32-19-8,Winners-2006,2,1.80,71,1.20
Mexico,Group Stage,Did Not Qualify,Did Not Qualify,Group Stage,Group Stage,Group Stage,Group Stage,Group Stage,Quarterfinalists,Did Not Qualify,Group Stage,Did Not Qualify,Quarterfinalists,Did Not Qualify,Round of 16,Round of 16,Round of 16,Round of 16,Round of 16,Round of 16,57,15-26-12,Quarterfinalists-1986,0,1.08,92,1.74
Argentina,Runners-Up,Round of 16,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Group Stage,Quarterfinalists,Did Not Qualify,Group Stage,Winners,Group Stage,Winners,Runners-Up,Round of 16,Quarterfinalists,Group Stage,Quarterfinalists,Quarterfinalists,Runners-Up,131,46-22-9,Winners-1986,2,1.70,84,1.09
Chile,Group Stage,Did Not Qualify,Did Not Qualify,Group Stage,Did Not Qualify,Did Not Qualify,Third Place,Group Stage,Did Not Qualify,Group Stage,Did Not Qualify,Group Stage,Did Not Qualify,Did Not Qualify,Did Not Qualify,Round of 16,Did Not Qualify,Did Not Qualify,Round of 16,Round of 16,40,12-15-6,Third Place-1962,0,1.21,49,1.48
Yugoslavia,Semifinalists,Did Not Qualify,Did Not Qualify,Group Stage,Quarterfinalists,Quarterfinalists,Semifinalists,Did Not Qualify,Did Not Qualify,Group Stage,Did Not Qualify,Group Stage,Did Not Qualify,Quarterfinalists,Did Not Qualify,Round of 16,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,60,16-14-7,Semifinalists-1962,0,1.62,46,1.24
Brazil,Group Stage,Round of 16,Third Place,Runners-Up,Quarterfinalists,Winners,Winners,Group Stage,Winners,Group Stage,Third Place,Group Stage,Quarterfinalists,Round of 16,Runners-Up,Runners-Up,Winners,Quarterfinalists,Quarterfinalists,Semifinalists,220,70-20-13,Winners-2002,4,2.14,101,0.98
Bolivia,Group Stage,Did Not Qualify,Did Not Qualify,Group Stage,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,1,0-5-1,Group Stage-1994,0,0.17,20,3.33
Romania,Group Stage,Round of 16,Round of 16,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Round of 16,Quarterfinalists,Round of 16,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,27,8-9-3,Quarterfinalists-1994,0,1.35,29,1.45
Peru,Group Stage,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Quarterfinalists,Did Not Qualify,Group Stage,Group Stage,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,19,4-8-3,Quarterfinalists-1970,0,1.27,31,2.07
Uruguay,Winners,Did Not Qualify,Did Not Qualify,Winners,Semifinalists,Did Not Qualify,Group Stage,Quarterfinalists,Semifinalists,Group Stage,Did Not Qualify,Did Not Qualify,Round of 16,Round of 16,Did Not Qualify,Did Not Qualify,Group Stage,Did Not Qualify,Semifinalists,Round of 16,80,20-20-11,Winners-1950,1,1.57,71,1.39
USA,Third Place,Round of 16,Did Not Qualify,Group Stage,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Round of 16,Group Stage,Quarterfinalists,Group Stage,Round of 16,Round of 16,37,8-19-6,Third Place-1930,0,1.12,62,1.88
Belgium,Group Stage,Round of 16,Round of 16,Did Not Qualify,Group Stage,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Did Not Qualify,Did Not Qualify,Group Stage,Semifinalists,Round of 16,Round of 16,Group Stage,Round of 16,Did Not Qualify,Did Not Qualify,Quarterfinalists,52,15-18-8,Semifinalists-1986,0,1.27,66,1.61
Paraguay,Group Stage,Did Not Qualify,Did Not Qualify,Group Stage,Did Not Qualify,Group Stage,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Round of 16,Did Not Qualify,Did Not Qualify,Round of 16,Round of 16,Group Stage,Quarterfinalists,Did Not Qualify,30,7-11-9,Quarterfinalists-2010,0,1.11,38,1.41
Italy,Did Not Qualify,Winners,Winners,Group Stage,Group Stage,Did Not Qualify,Group Stage,Group Stage,Runners-Up,Group Stage,Group Stage,Winners,Round of 16,Third Place,Winners,Quarterfinalists,Round of 16,Runners-Up,Group Stage,Group Stage,127,45-20-17,Winners-1994,4,1.55,76,0.93
Spain,Did Not Qualify,Quarterfinalists,Did Not Qualify,Group Stage,Did Not Qualify,Did Not Qualify,Group Stage,Group Stage,Did Not Qualify,Did Not Qualify,Group Stage,Group Stage,Quarterfinalists,Round of 16,Quarterfinalists,Group Stage,Quarterfinalists,Round of 16,Winners,Group Stage,91,29-21-8,Winners-2010,1,1.57,65,1.12
Austria,Did Not Qualify,Semifinalists,Round of 16,Did Not Qualify,Third Place,Group Stage,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Group Stage,Did Not Qualify,Group Stage,Did Not Qualify,Group Stage,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,43,12-14-4,Third Place-1954,0,1.43,50,1.67
Hungary,Did Not Qualify,Quarterfinalists,Runners-Up,Did Not Qualify,Runners-Up,Group Stage,Quarterfinalists,Quarterfinalists,Did Not Qualify,Did Not Qualify,Group Stage,Group Stage,Group Stage,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,87,15-14-3,Runners-Up-1954,0,2.72,57,1.78
Egypt,Did Not Qualify,Round of 16,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,3,0-2-2,Round of 16-1934,0,0.75,6,1.50
Czechoslovakia,Did Not Qualify,Runners-Up,Quarterfinalists,Did Not Qualify,Group Stage,Group Stage,Runners-Up,Did Not Qualify,Group Stage,Did Not Qualify,Did Not Qualify,Group Stage,Did Not Qualify,Quarterfinalists,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,43,11-14-4,Runners-Up-1962,0,1.48,44,1.52
Switzerland,Did Not Qualify,Quarterfinalists,Quarterfinalists,Group Stage,Quarterfinalists,Did Not Qualify,Group Stage,Group Stage,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Round of 16,Did Not Qualify,Did Not Qualify,Round of 16,Group Stage,Round of 16,44,11-16-5,Quarterfinalists-1954,0,1.38,58,1.81
Netherlands,Did Not Qualify,Round of 16,Round of 16,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Runners-Up,Runners-Up,Did Not Qualify,Did Not Qualify,Round of 16,Quarterfinalists,Semifinalists,Did Not Qualify,Round of 16,Runners-Up,Third Place,86,28-13-9,Runners-Up-2010,0,1.72,48,0.96
Germany,Did Not Qualify,Third Place,Round of 16,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Quarterfinalists,Quarterfinalists,Runners-Up,Third Place,Third Place,Winners,92,30-9-4,Winners-2014,1,2.14,43,1.00
Sweden,Did Not Qualify,Quarterfinalists,Semifinalists,Third Place,Did Not Qualify,Runners-Up,Did Not Qualify,Did Not Qualify,Group Stage,Group Stage,Group Stage,Did Not Qualify,Did Not Qualify,Group Stage,Third Place,Did Not Qualify,Round of 16,Round of 16,Did Not Qualify,Did Not Qualify,77,18-17-12,Runners-Up-1958,0,1.64,69,1.47
Norway,Did Not Qualify,Did Not Qualify,Round of 16,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Round of 16,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,7,2-3-3,Round of 16-1998,0,0.88,8,1.00
Poland,Did Not Qualify,Did Not Qualify,Round of 16,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Third Place,Group Stage,Third Place,Round of 16,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Group Stage,Did Not Qualify,Did Not Qualify,44,15-11-5,Third Place-1982,0,1.42,40,1.29
Dutch East Indies,Did Not Qualify,Did Not Qualify,Round of 16,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,0,0-1-0,Round of 16-1938,0,0.00,6,6.00
