Year,Host,Winner,RunnersUp,Third,Fourth,GoalsScored,QualifiedCountries,MatchesPlayed,Attendance,AttendancePerGame,GoalsPerGame
1930,Uruguay,Uruguay,Argentina,USA,Yugoslavia,70,13,18,590549,32808,3.89
1934,Italy,Italy,Czechoslovakia,Germany,Austria,70,16,17,363000,21353,4.12
1938,France,Italy,Hungary,Brazil,Sweden,84,15,18,375700,20872,4.67
1950,Brazil,Uruguay,Brazil,Sweden,Spain,88,13,22,1045246,47511,4.00
1954,Switzerland,Germany FR,Hungary,Austria,Uruguay,140,16,26,768607,29562,5.38
1958,Sweden,Brazil,Sweden,France,Germany FR,126,16,35,819810,23423,3.60
1962,Chile,Brazil,Czechoslovakia,Chile,Yugoslavia,89,16,32,893172,27912,2.78
1966,England,England,Germany FR,Portugal,Soviet Union,89,16,32,1563135,48848,2.78
1970,Mexico,Brazil,Italy,Germany FR,Uruguay,95,16,32,1603975,50124,2.97
1974,Germany,Germany FR,Netherlands,Poland,Brazil,97,16,38,1865753,49099,2.56
1978,Argentina,Argentina,Netherlands,Brazil,Italy,102,16,38,1545791,40679,2.68
1982,Spain,Italy,Germany FR,Poland,France,146,24,52,2109723,40572,2.81
1986,Mexico,Argentina,Germany FR,France,Belgium,132,24,52,2394031,46039,2.54
1990,Italy,Germany FR,Argentina,Italy,England,115,24,52,2516215,48389,2.21
1994,USA,Brazil,Italy,Sweden,Bulgaria,141,24,52,3587538,68991,2.71
1998,France,France,Brazil,Croatia,Netherlands,171,32,64,2785100,43517,2.67
2002,Korea/Japan,Brazil,Germany,Turkey,Korea Republic,161,32,64,2705197,42269,2.52
2006,Germany,Italy,France,Germany,Portugal,147,32,64,3359439,52491,2.30
2010,South Africa,Spain,Netherlands,Germany,Uruguay,145,32,64,3178856,49670,2.27
2014,Brazil,Germany,Argentina,Netherlands,Brazil,171,32,64,3386810,52919,2.67
